,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/hdd/0/temperature/0,/hdd/0/load/0
Time,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Total,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Package,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Package,CPU Cores,CPU Graphics,CPU DRAM,Total Power,Bus Speed,Memory,Used Memory,Available Memory,Temperature,Used Space
05-03-2024 16:55,10.0000019,2.23881,0,2.30768919,3.63662839,50,49,50,51,58,1201.37122,1201.37122,1201.37122,1201.37122,5.787024,1.10880113,1.26892352,0,8.16474865,100.114265,50.7956047,7.97431564,7.724514,44,27.4035416
05-03-2024 16:55,9.375,0,0,1.5625,2.734375,50,48,50,51,58,1201.37146,1201.37146,1201.37146,1201.37146,5.732326,1.1309911,1.24956131,0,8.11287841,100.114296,50.7733955,7.970829,7.72800064,44,27.4035416
05-03-2024 16:55,13.8461533,0.7692337,0,1.53846145,4.038465,51,49,50,52,57,1201.37183,1201.37183,1201.37183,1201.37183,5.894504,1.21624708,1.25581193,0,8.36656301,100.114319,50.6621552,7.95336533,7.74546432,45,27.4034271
05-03-2024 16:55,10.15625,1.5625,0.793647766,0.78125,3.323412,50,50,50,52,58,1201.37024,1101.2561,1101.2561,1201.37024,5.87664127,1.21724451,1.24748778,0,8.34137356,100.114189,50.64602,7.95083237,7.74799728,45,27.4034271
05-03-2024 16:55,8.59375,2.34375,0,1.51515007,3.11316252,50,49,50,51,57,1201.37122,1201.37122,1201.37122,1101.257,5.7724843,1.2042346,1.23110032,0,8.20781922,100.114265,50.63953,7.949814,7.749016,45,27.4034271
05-03-2024 16:55,9.230768,0.7692337,3.076923,0.7692337,3.46153975,51,50,50,52,57,1201.37109,1201.37109,1201.37109,1201.37109,5.847302,1.19292867,1.23846769,0,8.27869836,100.114258,50.62894,7.94815063,7.750679,45,27.40345
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,5.778406511,1.135376841,1.246251978,0,8.160035329,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Test 4,,,,,,,,,,,,,,,,,,,,,,,,,
05-03-2024 16:59,4.6875,0,0,0,1.171875,43,41,41,42,49,1101.25647,1101.25647,1101.25647,1101.25647,2.505795,0.6242214,0.035330966,0,3.165347366,100.11422,46.9736977,7.374321,8.324509,43,27.4038467
05-03-2024 16:59,8.4615345,2.30768919,0,0.757575035,2.8816998,45,42,45,44,52,1101.25684,1101.25684,1201.37109,1201.37109,5.66763449,1.10275269,1.22131,0,7.99169718,100.114258,50.23405,7.886158,7.81267166,43,27.4038467
05-03-2024 16:59,10.76923,0,0,0.757575035,2.8816998,46,44,47,45,54,1101.25635,1101.25635,1101.25635,1101.25635,5.827238,1.13357186,1.22341216,0,8.18422202,100.114212,50.2486763,7.88845444,7.810375,43,27.40387
05-03-2024 17:00,12.3557682,3.87057066,0,0.746268034,4.24315357,47,44,47,49,54,1201.37036,1201.37036,1201.37036,1201.37036,6.129729,1.48833,1.2450974,0,8.8631564,100.1142,50.2872162,7.89450455,7.804325,43,27.40387
05-03-2024 17:00,11.71875,5.46875,0,0.78125,4.4921875,47,46,48,48,55,1201.37024,1201.37024,1101.256,1201.37024,6.22884369,1.46599579,1.28276932,0,8.9776088,100.114182,50.16978,7.876068,7.82276154,43,27.40387
05-03-2024 17:00,6.25,1.5625,0.78125,1.58730149,2.54526138,49,48,48,50,56,1201.371,1201.371,1201.371,1101.25671,5.85598755,1.21016729,1.25270653,0,8.31886137,100.114243,50.163826,7.87513351,7.823696,43,27.40406
05-03-2024 17:00,7.8125,0,0,0,1.953125,50,46,48,49,57,1201.37061,1201.37061,1201.37061,1201.37061,5.707662,1.115196,1.24138653,0,8.06424453,100.114212,50.16115,7.874714,7.82411575,43,27.40406
05-03-2024 17:00,12.5,3.835225,0.7692337,1.53846145,4.66073132,50,48,49,49,56,1201.37122,1101.257,1101.257,1101.257,6.01381063,1.2074734,1.25705683,0,8.47834086,100.114273,50.15413,7.87361145,7.825218,43,27.40406
05-03-2024 17:00,10.76923,1.57489777,0,0,3.08603048,50,48,50,51,57,1101.25659,1101.25659,1101.25659,1101.25659,5.9076,1.21616185,1.26060081,0,8.38436266,100.114243,50.18307,7.87815475,7.820675,44,27.4040756
05-03-2024 17:01,5.384612,0,0,1.58730149,1.7429769,50,48,50,49,56,1201.37146,1201.37146,1101.25708,1201.37146,5.826996,1.16340744,1.25738049,0,8.24778393,100.114281,50.1751976,7.876919,7.821911,44,27.4040756
05-03-2024 17:01,6.92307949,3.06526423,0,0.7692337,2.68939734,50,48,49,51,58,1201.37109,1201.37109,1201.37109,1201.37109,5.92952251,1.15403283,1.27250838,0,8.35606372,100.114258,50.10811,7.86638641,7.832443,44,27.4040756
05-03-2024 17:01,10.76923,0.7692337,0,0.7692337,3.076923,50,48,50,51,58,1201.371,1201.371,1201.371,1101.25671,6.008129,1.19430375,1.2859509,0,8.48838365,100.11425,50.0602875,7.858879,7.83995056,45,27.404213
05-03-2024 17:01,9.230768,2.30768919,0,2.30768919,3.46153975,50,48,50,52,57,1201.37,1201.37,1201.37,1201.37,5.82263327,1.15222621,1.248225,0,8.22308448,100.114166,50.05817,7.858547,7.84028244,45,27.404213
05-03-2024 17:01,13.8461533,5.246496,0,1.53846145,5.15778065,50,49,50,51,58,1201.371,1201.371,1201.371,1201.371,6.141833,1.30879426,1.26346445,0,8.71409171,100.114243,50.0259,7.85348129,7.84534836,45,27.404213
05-03-2024 17:01,7.69230747,2.35652924,0,0,2.51221061,51,48,50,51,58,1201.37134,1101.25708,1101.25708,1101.25708,5.80635738,1.16859555,1.24454641,0,8.21949934,100.114281,50.02104,7.85271835,7.8461113,45,27.4042282
05-03-2024 17:02,10.0000019,1.56288147,0,0.7692337,3.08302641,50,50,50,51,58,1201.37073,1201.37073,1201.37073,1201.37073,5.730008,1.13783813,1.23940074,0,8.10724687,100.114227,50.0042038,7.850075,7.848755,45,27.4042282
05-03-2024 17:02,6.153846,1.52680874,0,0.757575035,2.10955739,50,49,50,53,58,1201.37024,1201.37024,1201.37024,1201.37024,5.901704,1.202642,1.28580213,0,8.39014813,100.114182,49.9560165,7.84251,7.85631943,45,27.4042282
05-03-2024 17:02,7.69230747,0.7692337,0,0.78125,2.31069326,51,49,50,51,58,1201.36951,1201.36951,1201.36951,1201.36951,5.90433645,1.14953506,1.23034751,0,8.28421902,100.11412,49.95009,7.84157944,7.85725,45,27.4040985
05-03-2024 17:02,7.8125,1.5625,0,0.78125,2.5390625,51,50,51,53,59,1201.37061,1201.37061,1201.37061,1201.37061,6.362916,1.44432151,1.6783036,0,9.48554111,100.114212,49.9506264,7.84166336,7.85716629,45,27.4040985
,,,,,,,,,,,,,,,,,,,,,,,,,
