,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,,,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/hdd/0/temperature/0,/hdd/0/load/0
Time,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Total,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Package,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Package,CPU Cores,CPU Graphics,CPU DRAM,,,Bus Speed,Memory,Used Memory,Available Memory,Temperature,Used Space
05-03-2024 01:38,15.625,0,0,0,3.90625,49,48,48,51,57,1101.25659,1101.25659,1101.25659,1101.25659,5.835836,1.27769279,1.16452754,0,8.27805633,100.114235,53.6453743,8.421696,7.277134,47,27.4199753,
05-03-2024 01:38,13.8461533,0,0,0,3.46153975,50,48,49,51,57,1101.257,1101.257,1101.257,1101.257,6.097646,1.28769946,1.14444065,0,8.52978611,100.114273,53.5274467,8.403183,7.29564667,47,27.4200363,
05-03-2024 01:38,11.71875,0,0,0,2.9296875,50,48,50,51,56,1101.25684,1101.25684,1101.25684,1201.37109,5.954208,1.26489019,1.16946614,0,8.38856433,100.114258,53.5061378,8.39983749,7.298992,47,27.4200363,
05-03-2024 01:38,13.0769253,0,0,0,3.26923132,50,48,50,51,57,1101.257,1101.257,1101.257,1201.37134,5.95879745,1.2480675,1.172613,0,8.37947795,100.114273,53.37735,8.37962,7.31921,47,27.4200363,
05-03-2024 01:38,15.3846149,0,0,0,3.8461566,50,48,50,50,56,1201.37122,1101.257,1101.257,1101.257,6.007654,1.30398512,1.17952037,0,8.49115949,100.114265,53.38238,8.380409,7.31842041,47,27.4199448,
05-03-2024 01:39,16.9230766,0.7692337,0.78125,0.7692337,4.8106966,51,48,49,49,57,1101.25647,1101.25647,1101.25647,1101.25647,6.11368752,1.35992062,1.23528528,0,8.70889342,100.11422,53.4134636,8.385288,7.31354141,47,27.4199448,
05-03-2024 01:39,13.8461533,1.53846145,0,0,3.8461566,51,49,50,51,57,1201.37122,1101.257,1201.37122,1201.37122,5.8231945,1.28198266,1.16518128,0,8.27035844,100.114273,53.4379539,8.389133,7.309696,47,27.4199448,
05-03-2024 01:39,19.23077,0,0,0.78125,5.003005,50,48,49,51,57,1201.372,1201.372,1201.372,1201.372,5.832098,1.27926266,1.17242146,0,8.28378212,100.114326,53.44405,8.390091,7.30873871,47,27.41999,
05-03-2024 01:39,17.1875,0,0,0,4.296875,50,48,49,51,58,1201.371,1201.371,1201.371,1201.371,5.84481955,1.25521958,1.22071,0,8.32074913,100.11425,53.4449768,8.390236,7.30859375,47,27.41999,
05-03-2024 01:39,16.1538486,0,0,0,4.038465,50,48,50,50,56,1201.37109,1101.25684,1201.37109,1101.25684,5.85490274,1.273187,1.217449,0,8.34553874,100.11425,53.44544,8.390308,7.30852127,47,27.41999,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,5.962574157,1.312825714,1.181265971,0,8.456665842,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
05-03-2024 01:44,20.92548,18.7259617,0,0.7692337,10.1051693,45,44,46,48,53,1301.48572,1401.6,1301.48572,1401.6,5.007821,2.04051375,0.014523878,0,7.062858628,100.114288,48.006073,7.536392,8.162437,44,27.4198914,
05-03-2024 01:44,19.23077,3.86003256,0,0,5.772698,47,46,48,48,55,1101.25818,1101.25818,1101.25818,1101.25818,7.12204456,1.50901353,1.18106163,0,9.81211972,100.114388,53.7111473,8.432022,7.26680756,44,27.4198914,
